dataset_id,name,version,task,language_pair,domain,source_style,data_origin,source_url,license,access,allowed_use,local_path,download_date,sha256,record_count,split_policy,status,notes
flores200_bo_zh,FLORES-200,71abf77d8b7beb5cfef59898d6b24d92ab7654fc,evaluation,bo-zh,general,mixed,human translation,https://huggingface.co/datasets/facebook/flores/tree/71abf77d8b7beb5cfef59898d6b24d92ab7654fc/data/language,CC-BY-SA-4.0,gated,evaluation only,data/raw/flores200_20260529,2026-09-21,bod_dev=5F7949E1302C5322EE132368B3374215BBD8FFAA24B30E4756777AFD8EE6E06F;bod_devtest=D3A3F62EF18A5FEB99AA619332379BCA65D47F713F65B85EF8138DF36486D622;zho_dev=F9151A874D14B3DD9086C7F788425618EB99E12246BC0FAE99EA33FD363D19E8;zho_devtest=10E0038BEF15832B981F50FECE056F7F6ECDE8CCFFA837A08999BB2B5575D973,2009 aligned pairs,fixed official dev/devtest,verified,Authenticated download; all 2009 local pairs pass ID metadata and blank checks; no exact cross-split pair overlap; four Tibetan source strings repeat with different Chinese translations; ten Tibetan sentences change under NFC; never train or tune on this benchmark
mitra_parallel_v2,MITRA Parallel,v2@bf7b340cd4f75bda3089479a6367ad94a8cbee10,translation,bo-zh,classical Buddhist,classical Buddhist,automatically mined parallel spans with Wylie source,https://github.com/dharmamitra/mitra-parallel/tree/bf7b340cd4f75bda3089479a6367ad94a8cbee10/v2,CC-BY-SA-4.0,public,training after quality filtering,data/raw/mitra_v2,2026-09-21,9179AD2F491A77FCEB06A52FDD93E1D2AECE3AD8623EF0BAA18A08E6373DF897,836559,split by source work or document,downloaded_profiled_review_pending,All records passed JSON and required-field checks; Tibetan source is Wylie rather than Unicode; only 471652 records are one-to-one; 606 scores exceed 1.0; use score only as an internal ranking signal; 200-row stratified review workbook generated
mitra_v2_conservative_train,MITRA v2 conservative structural filter,filter-v1,translation,bo-zh,classical Buddhist,classical Buddhist,structural filter from MITRA v2,https://github.com/dharmamitra/mitra-parallel/tree/bf7b340cd4f75bda3089479a6367ad94a8cbee10/v2,CC-BY-SA-4.0,public,training candidate,data/processed/mitra_v2_conservative/train.jsonl.gz,2026-09-21,D353875914F7239E7431AB380454E8F2C96C2C9A986A133194A8CC233B7E7FDC,427916,document-level filename split,ready_for_baseline,Structural only; one-to-one; Wylie conversion without warnings; Unicode Tibetan and CJK checks; 1%-99% length bounds; ASCII-digit targets excluded; no semantic human verification
mitra_v2_conservative_validation,MITRA v2 conservative validation split,filter-v1,validation,bo-zh,classical Buddhist,classical Buddhist,structural filter from MITRA v2,https://github.com/dharmamitra/mitra-parallel/tree/bf7b340cd4f75bda3089479a6367ad94a8cbee10/v2,CC-BY-SA-4.0,public,internal validation only,data/processed/mitra_v2_conservative/validation.jsonl.gz,2026-09-21,014422A7206DA546CF33750EBA43840EF676EEF894AB9038C69F7CBA857E4D76,23219,document-level filename split,ready_for_validation,38 held-out documents; no filename overlap with training; do not use as final benchmark
mitra_v2_tlb_bo2zh_eval,MITRA-MT TLB bo2zh,bf7b340cd4f75bda3089479a6367ad94a8cbee10,evaluation,bo-zh,Buddhist canonical,classical Chinese,manually aligned multilingual editions,https://github.com/dharmamitra/mitra-parallel/blob/bf7b340cd4f75bda3089479a6367ad94a8cbee10/v2/evaluation/bo-zh/bo2zh.tsv,SOURCE_TERMS_APPLY,public,evaluation only,data/raw/mitra_v2_eval/bo2zh.tsv,2026-09-21,324138D98644402C6231F67AE709B9FA16247DC5C1DA240117FB524E4BAA9D58,2000,fixed official held-out,verified,Traditional Buddhist Chinese; keep separate from modern Chinese metrics; 207 references contain ASCII digits and need manual artifact review
mitra_v2_lotsawahouse_bo2zh_eval,MITRA-MT Lotsawa House bo2zh,bf7b340cd4f75bda3089479a6367ad94a8cbee10,evaluation,bo-zh,modern liturgical and devotional,modern Chinese,human paragraph-aligned translations,https://github.com/dharmamitra/mitra-parallel/blob/bf7b340cd4f75bda3089479a6367ad94a8cbee10/v2/evaluation/bo-zh/lotsawahouse.tsv,CC-BY-NC-4.0,public,evaluation only,data/raw/mitra_v2_eval/lotsawahouse.tsv,2026-09-21,F4FF4C0A889178C1D534B66D926EF6B2B19EE84C84652C327F34B2B47B812189,1660,fixed official held-out blocks,verified,65 works and 166 paragraph blocks; 46 exact duplicate pairs; do not deduplicate or reshuffle the official benchmark when reporting comparable scores
openpecha_c0a2dd042,OpenPecha Parallel Corpus,C0A2DD042,translation,bo-zh,Buddhist,classical or literary,translated text pairs,https://github.com/OpenPecha-Data/C0A2DD042,CC0-1.0,public,training and manual inspection,data/raw/openpecha_c0a2dd042,2026-09-24,tree=F0034C09530749F7F894E5A61239C65DA003B9A08B4E2E7A1499407823476DD0;files=4618;bytes=84434192;archive_sha256=7420C5E83C90D9D23421501DBF46D717F3D0267BA88A2D6FD0A3AD9EC7802F64,2573,split by text identifier,downloaded,Small Chinese subset inside a larger multilingual corpus | GitHub API reports no LICENSE file in repo; CC0-1.0 claim not confirmed by the repository itself
modern_tibetan_corpus,Modern Tibetan Corpus,current,style_analysis,bo-en and bo monolingual,news blogs essays fiction,modern formal and literary,human annotation and translations,https://github.com/tibetan-nlp/modern-tibetan-corpus,MIT,public,style analysis only,data/raw/modern_tibetan_corpus,2026-09-24,tree=27D4673D6DC43A1905421D33CE57B9A07EA35603AC26667E7ECB21ED4637E56E;files=8924;bytes=81933343;archive_sha256=A1308CD4B0E54E56232F3E5D4020B264F9F1CA095EBD1FF79664EBE0EDE9CA8E,,split by document and source,downloaded,Not a direct Tibetan-Chinese training corpus | GitHub API reports spdx_id=MIT; supersedes the previous TO_VERIFY entry
shajiu_publiccorpus_samples,PublicCorpus Tibetan samples,current,quality_inspection,bo-zh,news law education,modern formal,unknown,https://github.com/Shajiu/PublicCorpus,custom research terms,sample_only,quality inspection only,data/raw/shajiu_publiccorpus,2026-09-24,tree=266B48DC7A19EEB84D52C72133991A1E6BFC4FAC81E745B0DA8B4F6B00EA124C;files=12;bytes=23551546;archive_sha256=A0CF6DCC77F61669D3DC55A086744E9A8AC28E1703FCFA6B77B8E8726DCBB378,100,no formal split,downloaded,Repository publishes samples rather than the claimed full corpus | GitHub API reports no LICENSE file; keep sample_only use
cute_v1,CUTE,v1,translation,bo-zh,mixed,mixed,machine translated,https://huggingface.co/datasets/CMLI-NLP/CUTE-Datasets,CC-BY-4.0,public,synthetic-data ablation only,data/raw/cute_v1,2026-09-24,tree=116739994FDAE5728CCD92390CF00FBA591DA60AA5170F191FA737C096F7C915;files=2;bytes=24611145857,,split by source and remove benchmark overlap,downloaded_tibetan_subset_only,"Large download; do not use as gold evaluation | Only the Tibetan subset was fetched (parallel-corpus/bo.txt, non-parallel-corpus/n-bo.txt)"
dongbamie,DongbaMIE,2025,multimodal,image-zh,Dongba manuscripts,pictographic semantic extraction,human semantic annotation,https://huggingface.co/datasets/thinklis/DongbaMIE,CC-BY-NC-SA-4.0,gated,optional semantic extraction,data/raw/dongbamie,2026-09-24,tree=705F9AE37B8896C03ABBBC1335E74D96D76F6113C41DCE44619B1B500991AAD3;files=10;bytes=1924975476,26069,official split or manuscript-level split,downloaded,User reports access granted; README and metadata inspected; no redistribution | Confirmed via HuggingFace license tag; gated access used; never redistribute
dongba1800,Dongba1800,v1,detection,image,Dongba manuscripts,pictographic,polygon annotation,https://doi.org/10.57760/sciencedb.13064,LICENSE_TEXT_CONFLICT,public,optional text detection,data/raw/dongba1800,2026-09-24,tree=511455D5937905E64FFF4B5F9771EA80F2F57D7C7F6BFACEDD99EA66475AAC20;files=3601;bytes=469913548,1800,official train/test split,downloaded,Paper says CC BY 4.0 but also states non-commercial restriction | figshare/ScienceDB article terms unresolved; paper states CC BY 4.0 but also a non-commercial restriction
bdrc_tibetan_ocr_benchmark,BDRC Tibetan OCR Benchmark,current,ocr,image-bo,Tibetan documents,multiple scripts and print technologies,human transcription,https://huggingface.co/datasets/BDRC/tibetan-ocr-benchmark,CC0-1.0,public,OCR evaluation only,data/raw/bdrc_tibetan_ocr,2026-09-24,tree=9BB3C92AFCF8710E6650A8C0C289C52E0E7758EEA17F350F424C650EE16CCB62;files=89;bytes=245191699,472,fixed benchmark split,downloaded,Download only when starting OCR stage | Confirmed via HuggingFace license tag
